Time	App_Name	BG_App_Cnt	Daylight	
2021-09-07 08:40:00.319005	TextLogger.exe	8	Morning
2021-09-07 08:40:03.708431	TextLogger.exe	8	Morning
2021-09-07 08:41:13.648291	TextLogger.exe	8	Morning
2021-09-07 08:41:20.288534	explorer.exe	8	Morning
2021-09-07 08:41:35.239684	TextLogger.exe	8	Morning
2021-09-07 08:41:40.948319	explorer.exe	8	Morning
2021-09-07 08:41:48.842346	OpenWith.exe	8	Morning
2021-09-07 08:41:52.846955	explorer.exe	8	Morning
2021-09-07 08:41:53.079362	notepad.exe	8	Morning
2021-09-07 08:42:11.607472	explorer.exe	8	Morning
2021-09-07 08:42:13.203073	Taskmgr.exe	8	Morning
2021-09-07 08:42:15.989029	notepad.exe	8	Morning
2021-09-07 08:42:17.160815	Taskmgr.exe	8	Morning
2021-09-07 08:42:19.361845	explorer.exe	8	Morning
2021-09-07 08:42:19.568864	notepad.exe	8	Morning
2021-09-07 08:42:25.073395	explorer.exe	8	Morning
2021-09-07 08:42:29.965016	notepad.exe	8	Morning
2021-09-07 08:42:45.338054	explorer.exe	8	Morning
2021-09-07 08:42:48.326144	TextLogger.exe	8	Morning
2021-09-07 08:42:58.904586	Taskmgr.exe	8	Morning
2021-09-07 08:43:20.873867	TextLogger.exe	8	Morning
2021-09-07 08:43:24.528906	Taskmgr.exe	8	Morning
2021-09-07 08:44:11.453651	ShellExperienceHost.exe	8	Morning
2021-09-07 08:44:11.584489	Taskmgr.exe	8	Morning
2021-09-07 08:44:13.269929	ShellExperienceHost.exe	8	Morning
2021-09-07 08:44:13.371481	Taskmgr.exe	8	Morning
2021-09-07 08:44:21.438376	explorer.exe	8	Morning
2021-09-07 08:44:22.708777	Taskmgr.exe	8	Morning
2021-09-07 08:44:23.659888	msedge.exe	8	Morning
2021-09-07 08:44:25.121709	Taskmgr.exe	8	Morning
2021-09-07 08:44:33.713931	msedge.exe	8	Morning
2021-09-07 08:44:34.746092	Taskmgr.exe	8	Morning
2021-09-07 08:44:44.515975	WINWORD.EXE	8	Morning
2021-09-07 08:44:46.593965	explorer.exe	8	Morning
2021-09-07 08:44:47.710105	TextLogger.exe	8	Morning
2021-09-07 08:44:50.295877	explorer.exe	8	Morning
2021-09-07 08:44:52.326999	ShellExperienceHost.exe	8	Morning
2021-09-07 08:44:59.532591	explorer.exe	8	Morning
2021-09-07 08:44:59.645866	TextLogger.exe	8	Morning
2021-09-07 08:45:01.416258	explorer.exe	8	Morning
2021-09-07 08:45:05.260739	IDMan.exe	8	Morning
2021-09-07 08:45:06.772361	explorer.exe	8	Morning
2021-09-07 08:45:10.480149	Taskmgr.exe	8	Morning
2021-09-07 08:45:24.237065	explorer.exe	8	Morning
2021-09-07 08:45:27.057235	explorer.exe	8	Morning
2021-09-07 08:45:27.742698	explorer.exe	8	Morning
2021-09-07 08:45:27.859878	explorer.exe	8	Morning
2021-09-07 08:45:29.354900	mblctr.exe	8	Morning
2021-09-07 08:46:07.902238	explorer.exe	8	Morning
2021-09-07 08:46:09.069156	explorer.exe	8	Morning
2021-09-07 08:46:10.896188	explorer.exe	8	Morning
2021-09-07 08:46:13.905761	explorer.exe	8	Morning
2021-09-07 08:46:18.815600	explorer.exe	8	Morning
2021-09-07 08:46:20.333083	TextLogger.exe	8	Morning
2021-09-07 08:46:20.913124	explorer.exe	8	Morning
2021-09-07 08:46:21.536132	Taskmgr.exe	8	Morning
2021-09-07 08:46:38.686400	WINWORD.EXE	8	Morning
2021-09-07 08:46:40.300554	Taskmgr.exe	8	Morning
2021-09-07 08:46:41.309278	TextLogger.exe	8	Morning
2021-09-07 08:46:51.030339	Taskmgr.exe	8	Morning
2021-09-07 08:47:36.842836	msedge.exe	8	Morning
2021-09-07 08:48:42.331808	Taskmgr.exe	8	Morning
2021-09-07 08:49:38.939513	msedge.exe	8	Morning
2021-09-07 08:49:48.614675	Taskmgr.exe	8	Morning
2021-09-07 08:49:56.884658	msedge.exe	8	Morning
2021-09-07 08:49:58.962644	TextLogger.exe	8	Morning
2021-09-07 08:50:00.960564	msedge.exe	8	Morning
2021-09-07 08:50:01.563065	WINWORD.EXE	8	Morning
2021-09-07 08:50:03.767024	msedge.exe	8	Morning
2021-09-07 08:50:37.344954	WINWORD.EXE	8	Morning
2021-09-07 08:50:38.560697	TextLogger.exe	8	Morning
2021-09-07 08:50:40.821293	Taskmgr.exe	8	Morning
2021-09-07 08:51:19.591276	TextLogger.exe	8	Morning
2021-09-07 08:51:22.527611	Taskmgr.exe	8	Morning
2021-09-07 08:52:24.023676	WINWORD.EXE	8	Morning
2021-09-07 08:52:25.590959	msedge.exe	8	Morning
2021-09-07 08:53:26.908321	explorer.exe	8	Morning
2021-09-07 08:53:27.446372	ShellExperienceHost.exe	8	Morning
2021-09-07 08:57:38.496710	msedge.exe	8	Morning
2021-09-07 09:03:30.047319	WINWORD.EXE	8	Morning
2021-09-07 09:05:14.172488	explorer.exe	8	Morning
2021-09-07 09:07:13.937286	explorer.exe	8	Morning
2021-09-07 09:07:23.128103	explorer.exe	8	Morning
2021-09-07 09:07:34.766036	WINWORD.EXE	8	Morning
2021-09-07 09:33:44.688988	TextLogger.exe	10	Morning
2021-09-07 09:34:19.225839	WINWORD.EXE	10	Morning
2021-09-07 09:34:21.376094	devenv.exe	10	Morning
2021-09-07 09:34:33.528633	msedge.exe	10	Morning
2021-09-07 09:34:34.698479	explorer.exe	10	Morning
2021-09-07 09:35:30.875547	explorer.exe	9	Morning
2021-09-07 09:35:33.812860	explorer.exe	9	Morning
2021-09-07 09:36:12.951959	explorer.exe	9	Morning
2021-09-07 09:36:29.811230	msedge.exe	9	Morning
2021-09-07 09:36:36.376253	WINWORD.EXE	9	Morning
2021-09-07 09:36:43.734682	msedge.exe	9	Morning
2021-09-07 09:36:49.511665	WINWORD.EXE	9	Morning
2021-09-07 09:36:51.698040	msedge.exe	9	Morning
2021-09-07 09:36:53.610029	explorer.exe	9	Morning
2021-09-07 09:36:53.725255	explorer.exe	9	Morning
2021-09-07 09:37:05.134687	explorer.exe	9	Morning
2021-09-07 09:37:05.226471	explorer.exe	9	Morning
2021-09-07 09:37:10.907749	Taskmgr.exe	9	Morning
2021-09-07 09:37:26.416522	explorer.exe	9	Morning
2021-09-07 09:37:29.930943	devenv.exe	9	Morning
2021-09-07 09:37:46.466994	explorer.exe	9	Morning
2021-09-07 09:38:47.828306	msedge.exe	9	Morning
2021-09-07 09:38:48.844871	explorer.exe	9	Morning
2021-09-07 09:39:00.353867	devenv.exe	9	Morning
2021-09-07 09:39:26.577774	explorer.exe	9	Morning
2021-09-07 09:39:28.634310	devenv.exe	9	Morning
2021-09-07 09:39:43.108001	dwm.exe	9	Morning
2021-09-07 09:39:47.919182	devenv.exe	9	Morning
2021-09-07 09:40:01.016976	explorer.exe	9	Morning
2021-09-07 09:40:06.562519	devenv.exe	9	Morning
2021-09-07 09:40:31.433975	explorer.exe	9	Morning
2021-09-07 09:40:35.593865	devenv.exe	9	Morning
2021-09-07 09:41:06.253036	explorer.exe	9	Morning
2021-09-07 09:41:13.271141	devenv.exe	9	Morning
2021-09-07 09:43:00.758433	explorer.exe	9	Morning
2021-09-07 09:43:06.335194	devenv.exe	9	Morning
2021-09-07 09:44:13.200054	explorer.exe	9	Morning
2021-09-07 09:44:14.809334	msedge.exe	9	Morning
2021-09-07 09:44:19.265119	explorer.exe	9	Morning
2021-09-07 09:44:20.829463	devenv.exe	9	Morning
2021-09-07 09:49:41.285496	explorer.exe	9	Morning
2021-09-07 09:49:55.093207	devenv.exe	9	Morning
2021-09-07 09:53:14.308011	TextLogger.exe	9	Morning
2021-09-07 09:53:23.896248	devenv.exe	9	Morning
2021-09-07 09:54:12.860888	TextLogger.exe	9	Morning
2021-09-07 09:54:41.226259	devenv.exe	9	Morning
2021-09-07 09:55:04.495278	explorer.exe	9	Morning
2021-09-07 09:55:06.512726	devenv.exe	9	Morning
2021-09-07 09:55:41.064227	msedge.exe	9	Morning
2021-09-07 09:55:44.001538	devenv.exe	9	Morning
2021-09-07 09:56:41.484186	explorer.exe	9	Morning
2021-09-07 09:56:43.258488	devenv.exe	9	Morning
2021-09-07 09:56:45.697784	explorer.exe	9	Morning
2021-09-07 09:56:50.850776	msedge.exe	9	Morning
2021-09-07 09:57:25.608316	TextLogger.exe	9	Morning
2021-09-07 09:57:26.696137	msedge.exe	9	Morning
2021-09-07 09:57:39.249055	TextLogger.exe	9	Morning
2021-09-07 09:57:40.201140	Taskmgr.exe	9	Morning
2021-09-07 09:57:42.014522	WINWORD.EXE	9	Morning
2021-09-07 09:57:43.619865	devenv.exe	9	Morning
2021-09-07 10:05:28.038948	TextLogger.exe	10	Morning
2021-09-07 10:05:42.106601	devenv.exe	10	Morning
2021-09-07 10:05:57.649554	msedge.exe	10	Morning
2021-09-07 10:08:17.950142	devenv.exe	10	Morning
2021-09-07 10:12:57.124991	WINWORD.EXE	9	Morning
2021-09-07 10:13:10.242306	explorer.exe	9	Morning
2021-09-07 10:13:16.477274	WINWORD.EXE	9	Morning
2021-09-07 10:13:25.039208	Taskmgr.exe	9	Morning
2021-09-07 10:13:30.735144	WINWORD.EXE	9	Morning
2021-09-07 10:13:40.515757	devenv.exe	9	Morning
2021-09-07 10:14:33.395188	explorer.exe	9	Morning
