Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Mouse	2021-09-07 08:40:04.831440	2021-09-07 08:40:11.106429	6.274989	Morning
Mouse	2021-09-07 08:40:20.768861	2021-09-07 08:40:26.393501	5.62464	Morning
Mouse	2021-09-07 08:41:52.658490	2021-09-07 08:42:06.828481	14.169991	Morning
Keyboard	2021-09-07 08:40:01.110942	2021-09-07 08:42:26.375069	145.264127	Morning
Mouse	2021-09-07 08:42:58.768835	2021-09-07 08:43:20.953937	22.185102	Morning
Mouse	2021-09-07 08:43:24.519141	2021-09-07 08:44:11.528878	47.009737	Morning
Mouse	2021-09-07 08:44:13.253328	2021-09-07 08:44:21.493034	8.239706	Morning
Mouse	2021-09-07 08:44:25.097322	2021-09-07 08:44:33.704163	8.606841	Morning
Mouse	2021-09-07 08:44:34.721684	2021-09-07 08:44:44.603857	9.882173	Morning
Mouse	2021-09-07 08:45:10.472320	2021-09-07 08:45:24.243909	13.771589	Morning
Mouse	2021-09-07 08:45:28.878368	2021-09-07 08:46:01.665333	32.786965	Morning
Mouse	2021-09-07 08:46:21.534189	2021-09-07 08:46:38.667845	17.133656	Morning
Mouse	2021-09-07 08:46:51.023502	2021-09-07 08:47:03.011991	11.988489	Morning
Mouse	2021-09-07 08:47:03.017851	2021-09-07 08:47:37.346708	34.328857	Morning
Mouse	2021-09-07 08:47:45.456541	2021-09-07 08:47:53.936466	8.479925	Morning
Mouse	2021-09-07 08:48:03.175134	2021-09-07 08:48:17.104904	13.92977	Morning
Mouse	2021-09-07 08:48:17.236733	2021-09-07 08:48:40.759640	23.522907	Morning
Mouse	2021-09-07 08:48:42.331808	2021-09-07 08:49:38.983456	56.651648	Morning
Mouse	2021-09-07 08:49:48.612735	2021-09-07 08:49:56.666892	8.054157	Morning
Keyboard	2021-09-07 08:42:27.080699	2021-09-07 08:50:23.371236	476.290537	Morning
Mouse	2021-09-07 08:50:40.785165	2021-09-07 08:51:19.607875	38.82271	Morning
Mouse	2021-09-07 08:51:20.986709	2021-09-07 08:52:24.060780	63.074071	Morning
Mouse	2021-09-07 08:53:01.330855	2021-09-07 08:53:25.384978	24.054123	Morning
Mouse	2021-09-07 08:53:33.940131	2021-09-07 08:57:36.803469	242.863338	Morning
Mouse	2021-09-07 08:57:38.675407	2021-09-07 09:03:27.091451	348.416044	Morning
Mouse	2021-09-07 09:03:31.190810	2021-09-07 09:03:38.477440	7.28663	Morning
Mouse	2021-09-07 09:04:22.003953	2021-09-07 09:04:28.588510	6.584557	Morning
Mouse	2021-09-07 09:04:49.206311	2021-09-07 09:04:57.352277	8.145966	Morning
Mouse	2021-09-07 09:05:03.033551	2021-09-07 09:05:08.037139	5.003588	Morning
Mouse	2021-09-07 09:05:43.643259	2021-09-07 09:05:55.000933	11.357674	Morning
