Model,Accuracy,Balanced_Acc,Precision,Recall,F1_Score,Macro_F1,ROC_AUC,CV_Accuracy,CV_Std,Train_Time_s,Pred_Time_ms,Memory_MB,Model_Size_KB,Inference_Speed,Rank_Score,Rank
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.959,8.305,0.141,1333.4,60208.0,1.0,1
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.152,40.412,2.467,2535.8,12373.0,1.0,2
ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.136,74.719,1.989,8248.3,6692.0,1.0,3
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.397,7.4,5.213,1748.1,67565.0,1.0,4
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.129,9.788,2.146,121.3,51085.0,1.0,5
HistGradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.1,17.82,4.743,1593.1,28058.0,1.0,6
CatBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.928,3.087,0.068,942.0,161975.0,1.0,7
NaiveBayes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005,1.327,1.411,6.3,376761.0,1.0,8
GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.0008,15.579,5.134,1.078,2710.4,97392.0,0.9999399999999999,9
KNN,0.998,0.998,0.998,0.998,0.998,0.998,0.9988,0.9984,0.0015,0.007,1931.556,1.513,707.5,259.0,0.99822,10
LogisticRegression,0.996,0.996,0.9961,0.996,0.996,0.996,1.0,1.0,0.0,0.08,1.413,1.88,6.2,353932.0,0.99741,11
MLP,0.984,0.984,0.9848,0.984,0.984,0.984,0.9999,0.992,0.0038,0.803,3.249,5.714,1254.2,153879.0,0.98846,12
DecisionTree,0.962,0.962,0.9624,0.962,0.9619,0.9619,0.9766,0.9492,0.0098,0.058,1.338,1.018,12.4,373636.0,0.9630150000000001,13
AdaBoost,0.484,0.484,0.4729,0.484,0.3815,0.3815,0.8802,0.5212,0.0278,1.992,18.681,1.283,150.3,26765.0,0.5420849999999999,14
